2024-03-13T16:32:34.451Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-13T16:32:50.005Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-13T16:32:53.015Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-15T20:12:36.663Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-15T20:12:43.134Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-15T20:14:28.468Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-15T20:14:36.944Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-15T20:19:08.220Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-15T20:19:09.659Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-15T20:23:31.465Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-15T20:23:36.262Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-15T20:39:47.105Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-15T20:39:50.217Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-15T20:40:31.224Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-15T20:40:34.322Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-15T20:41:40.461Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-15T20:41:43.964Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-15T20:43:28.307Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-15T20:43:29.735Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-15T20:43:44.081Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-15T20:43:47.328Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-15T20:43:59.937Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-15T20:44:02.892Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-15T20:49:52.692Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-15T20:49:54.254Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-15T20:50:33.823Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-15T20:50:38.733Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-15T20:54:03.121Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-15T20:54:07.265Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-15T20:56:01.893Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-15T20:56:08.710Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-15T21:05:15.682Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-16T15:50:23.951Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-16T15:50:24.850Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-16T15:56:33.083Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-16T15:56:33.905Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-16T15:57:13.191Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-16T15:57:15.586Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-16T15:58:03.000Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-16T15:58:05.491Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-16T15:59:16.675Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-16T15:59:17.454Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-16T17:03:47.242Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-16T17:03:48.023Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-16T17:06:55.906Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-16T17:06:56.523Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-16T17:20:44.745Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-16T17:20:45.377Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-16T17:27:41.744Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-16T17:27:42.524Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-16T17:33:28.164Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-16T17:33:28.890Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

2024-03-16T17:33:59.396Z [info] ::ffff:127.0.0.1:/sc-admin/ | GET

2024-03-16T17:34:00.004Z [info] ::ffff:127.0.0.1:/favicon.ico | GET

